'an'cang'sha'ji 暗藏杀机
'jie'huo'zhan 戒火斩
'jing'hong'you'long 惊鸿游龙
'jing'shi'po'mo'ji 净世破魔击
'jing'yu 惊羽
'jing'yu 鲸鱼
'jiu'xi'mi'yan 九溪弥烟
'jiu'zhong'xian 酒中仙
'jiu'zhuan'gui'yi 九转归一
'juan'ta'zhi 鹃踏枝
'jue'dao 绝刀
'jue'dou 决斗
'jue'yin'zhi 厥阴指
'kai'hu 开虎
'kang'long'you'hui 亢龙有悔
'kong'que'ling 孔雀翎
'kou'jiao 抠脚
'ku'can 枯残
'kuai'xue'shi'qing 快雪时晴
'kuang'long'luan'wu 狂龙乱舞
'lan'cui'yu'zhe 兰摧玉折
'lei'ting'zhen'nu 雷霆震怒
'lei'zhen'zi 雷震子
'li'jing 离经
'li'jing'yi'dao 离经易道
'liang'yi'hua'xing 两仪化形
'lie'ri'zhan 烈日斩
'lie'shi'nu 裂石弩
'ling'gu 灵蛊
'ling'she'yin 灵蛇引
'liu'guang'qiu'ying 流光囚影
'long'teng'wu'yue 龙腾五岳
'long'xiao'jiu'tian 龙啸九天
'long'ya 龙牙
'long'yin 龙吟
'long'you'tian'di 龙游天地
'long'yue'yu'yuan 龙跃于渊
'long'zhan'yu'ye 龙战于野
'lu'he'du'zun 六合独尊
'luan'sa 乱洒
'luan'sa'qing'he 乱洒青荷
'luo'han'jin'shen 罗汉金身
'mei'hua'san'nong 梅花三弄
'meng'quan'hu'pao 梦泉虎跑
'mi'shen'ding 迷神钉
'miao'jiao 喵教
'miao'wu'shen'yang 妙舞神扬
'ming'jiao 明教
'ming'yue'du'xin 冥月渡心
'mo'ke'wu'liang 摩柯无量
'mo'wen 莫问
'na'yun'shi 拿云式
'nai'du 奶毒
'nai'ge 奶歌
'nai'hua 奶花
'nai'xiu 奶秀
'nao'xu'mi 闹须弥
'niao'jiao 鸟叫
'niao'xiang 鸟翔
'niao'xiang'bi'kong 鸟翔碧空
'nie'pan'chong'sheng 涅槃重生
'nv'wa 女娲
'nv'wa'bu'tian 女娲补天
'ping'hu'duan'yue 平湖断月
'ping'sha 平沙
'ping'sha'luo'yan 平沙落雁
'ping'xu'yu'feng 凭虚御风
'po'cang'qiong 破苍穹
'po'fu'chen'zhou 破釜沉舟
'po'jian'zhen 破坚阵
'po'luo'men 婆罗门
'pu'du'si'fa 普度四法
'qi'chun 气纯
'qi'xing'gong'rui 七星拱瑞
'qi'xiu 七秀
'qian'die 千蝶
'qian'die'tu'rui 千蝶吐瑞
'qian'ji'bian 千机变
'qian'jin'zhui 千斤坠
'qian'si 牵丝
'qiao'dao 鞘刀
'qie'jian 切剑
'qie'zhong'jian 切重剑
'qin'long'jue 擒龙诀
'qin'long'liu'zhan 擒龙六斩
'qing'jue'ying'ge 清绝影歌
'qing'xiao'fei'xiang 青霄飞翔
'qing'xin 清心
'qing'xin'jing'qi 清心静气
'qu'ye'duan'chou 驱夜断愁
'quan'ning'yue 泉凝月
'quan'ya'jiao'cuo 犬牙交错
'ren'chi'cheng 任驰骋
'ren'jian'he'yi 人剑合一
'san'cai'hua'sheng 三才化生
'san'huan'tao'yue 三环套月
'shan'dao 闪刀
'shan'ju'jian'yi 山居剑意
'shang'jiang'jun'yin 上将军印
'shang'yang'zhi 商阳指
'shang'yuan'dian'can 上元点餐
'shao'lin 少林
'she'shen 舍身
'she'shen'jue 舍身决
'she'ying 蛇影
'sheng'huo'zhao'zhao'sheng'guang'yao'yao 圣火昭昭圣光耀耀
'sheng'mie 生灭
'sheng'mie'yu'duo 生灭予夺
'sheng'shou 圣手
'sheng'shou'zhi'tian 圣手织天
'sheng'si'jie 生死劫
'sheng'tai'ji 生太极
'sheng'xie'yin 圣蝎引
'shi'cheng'liu'long 时乘六龙
'shi'ji'dan 蚀肌弹
'shou'que'shi 守缺式
'shou'ru'shan 守如山
'shu'quan'fei'ri 蜀犬吠日
'shu'ying'heng'xie 疏影横斜
'shuang'dao 双刀
'shuang'long'qu'shui 双龙取水
'shui'xie'hua'ying 水榭花盈
'shui'yue'wu'jian 水月无间
'si'xiang'lun'hui 四象轮回
'song'she'wen'xia 松舍问霞
'song'yan'zhu'wu 松烟竹雾
'sui'jiang'tian 碎江天
'sui'xing'chen 碎星辰
'tai'ji'wu'ji 太极无极
'tai'yin'zhi 太阴指
'tan'mei 探梅
'tan'mo 贪魔
'tan'mo'ti 贪魔体
'tang'men 唐门
'ti'yun'zong 梯云纵
'ti'zhen 提针
'tian'ce 天策
'tian'di'di'ang 天地低昂
'tian'jue'di'mie 天绝地灭
'tian'luo 田螺
'tian'luo'gui'dao 天罗诡道
'tian'xia'wu'gou 天下无狗
'tian'zhu'yin 天蛛引
'ting'feng'chui'xue 听风吹雪
'ting'lei 听雷
'tun'ri'yue 吞日月
'wan'hua 万花
'wan'jian'gui'zong 万剑归宗
'wan'shi'bu'jie 万世不竭
'wang'mu 王母
'wang'mu'hui'mei 王母挥袂
'wei'tuo'xian'chu 韦陀献杵
'wen'shui'jue 问水诀
'wo'zhen 握针
'wu'du 五毒
'wu'fang'xing'jin 五方行尽
'wu'gong 蜈蚣
'wu'ju 无惧
'wu'ming'hun'suo 无明魂锁
'wu'wo'wu'jian 无我无剑
'wu'xiang'jue 无相决
'xi'chu'bei'ge 西楚悲歌
'xi'sui'jing 洗髓经
'xi'zhao'lei'feng 夕照雷锋
'xia'liu'bao'shi 霞流宝石
'xiang'luan'wu'liu 翔鸾舞柳
'xiang'wang'ji'ding 项王击鼎
'xiang'zhi 相知
'xiao'ao 笑傲
'xiao'ao'guang'yin 笑傲光阴
'xiao'qian'die 小千蝶
'xiao'ri 啸日
'xiao'ru'hu 啸如虎
'xiao'zui 笑醉
'xiao'zui'kuang 笑醉狂
'xie'xin 蝎心
'xie'yuan'gui'hun 卸元归魂
'xie'zi 蝎子
'xin'gu'xian 心鼓弦
'xin'wu'pang'wu 心无旁骛
'xing'lou 星楼
'xing'lou'yue'ying 星楼月影
'xiu'ming'chen'shen 秀明尘身
'xiu'qi 袖气
'xuan'shui'gu 玄水蛊
'xue'nu 血怒
'xue'xu'jin'ping 雪絮金屏
'yan'gao 厌高
'yan'yu'xing 烟雨行
'yang'chun'bai'xue 阳春白雪
'yang'jing'sha'chang 扬旌沙场
'yang'ming'zhi 阳明指
'yin'lei'tui'fa 殷雷腿法
'yin'shen 隐身
'yin'yue'zhan 银月斩
'ying'ming'liu 莺鸣柳
'you'yue'lun 幽月轮
'yu'chan'yin 玉蟾引
'yu'hong'guan'ri 玉虹贯日
'yu'quan'yu'yue 玉泉鱼跃
'yu'shi'ju'fen 玉石俱焚
'yun'fei'jian'huang 云飞剑皇
'yun'qi'song 云栖松
'yun'sheng'jie'hai 云生结海
'zhan'ba'fang 战八方
'zhan'dao 斩刀
'zhan'fu 战复
'zhen'shan'he 镇山河
'zhi'zhu 蜘蛛
'zhong'ling'yu'xiu 钟灵毓秀
'zhu'xing'jian 逐星箭
'zhuan'qian'kun 转乾坤
'zhui'ming 追命
'zhui'ming'jian 追命箭
'zhui'ming'wu'sheng 追命无声
'zhuo'ying'shi 捉影式
'zi'mu'zhao 子母爪
'zi'qi'dong'lai 紫气东来
'zui'wu 醉舞
'zui'wu'jiu'tian 醉舞九天
'zui'yue 醉月
'zui'zhan'bai'she 醉斩白蛇
'zuo'wu'wang'wo 坐勿忘我
'a'bao 阿宝
'a'ben 阿本
'a'bi 阿碧
'a'bu 阿布
'a'cai 阿彩
'a'cao 阿草
'a'chai 阿柴
'a'cheng 阿诚
'a'chi'li 阿叱力
'a'da 阿大
'a'da 阿达
'a'du'lu 阿独鹿
'a'er 阿二
'a'fan'da 阿凡达
'a'fan'ti 阿凡提
'a'fei 阿飞
'a'feng 阿风
'a'gan 阿甘
'a'gan 阿赣
'a'gang 阿纲
'a'gu'da'mu 阿古达木
'a'hua 阿花
'a'ji 阿吉
'a'jia'na 阿加娜
'a'jiao 阿娇
'a'jiu 阿九
'a'kang'bo 阿康波
'a'ke'er'de 阿克尔德
'a'la'ba'ma 阿拉巴玛
'a'la'si'jia 阿拉斯加
'a'lai 阿来
'a'li 阿里
'a'li'ma 阿丽玛
'a'li'man'cang'wu'chang 阿里曼仓务长
'a'li'man'ci'ke 阿里曼刺客
'a'li'man'ci'shan'zhe 阿里曼慈善者
'a'li'man'ge'er 阿里曼戈尔
'a'li'man'ha'li 阿里曼哈丽
'a'li'man'ji'si 阿里曼祭司
'a'li'man'ji'si'shi'cong 阿里曼祭司侍从
'a'li'man'ji'tan'xin'shi 阿里曼祭坛信使
'a'li'man'jian'nu 阿里曼监奴
'a'li'man'jiao'shi 阿里曼教士
'a'li'man'kuang're'zhe 阿里曼狂热者
'a'li'man'qi'dao'zhe 阿里曼祈祷者
'a'li'man'sheng'tan 阿里曼圣坛
'a'li'man'shi'cong 阿里曼侍从
'a'li'man'shi'xing'zhe 阿里曼施刑者
'a'li'man'si'shi 阿里曼司事
'a'li'man'xin'tu 阿里曼信徒
'a'li'man'xing'shan'zhe 阿里曼行善者
'a'li'man'xuan'hao'zhe 阿里曼宣号者
'a'li'man'xuan'shi 阿里曼宣使
'a'li'man'ya'da 阿里曼亚达
'a'li'man'zhi'fa'zhang'lao 阿里曼执法长老
'a'li'man'zhong'shi'zhe 阿里曼忠实者
'a'li'mu 阿里木
'a'liang 阿亮
'a'ling 阿凌
'a'long 阿龙
'a'lu 阿鹭
'a'lun 阿伦
'a'ma'lv 阿麻吕
'a'man 阿蛮
'a'ming'na 阿明娜
'a'mu 阿目
'a'na'xiu 阿纳秀
'a'nan 阿喃
'a'nan 阿囡
'a'ni 阿妮
'a'niu 阿牛
'a'qi 阿琪
'a'sa'xin 阿萨辛
'a'sa'xin'da'ren 阿萨辛大人
'a'sa'xin'da'ren'de'hua 阿萨辛大人的话
'a'sa'xin'sheng'xiang 阿萨辛圣像
'a'san 阿三
'a'sang 阿桑
'a'shi'na'cong'li 阿史那从礼
'a'si 阿四
'a'si'ma 阿斯玛
'a'song 阿松
'a'ta 阿塔
'a'te 阿特
'a'teng 阿疼
'a'tu'bo 阿土伯
'a'wei 阿唯
'a'wen 阿文
'a'wu 阿武
'a'xiu 阿修
'a'xiu 阿绣
'a'xue 阿雪
'a'yi'ke'zi 阿依克孜
'a'yi'mu 阿依木
'a'yi'na 阿依那
'a'yi'nu'er 阿依努尔
'a'yi'sha 阿伊莎
'a'yi'sha 阿依莎
'a'you'duo 阿幼朵
'a'yue 阿月
'a'zha'ke 阿扎克
'a'zhu 阿朱
'a'zhuo'ma 阿卓玛
'ai'chun'qiu 艾春秋
'ai'de'hua 艾德花
'ai'ka'lun 艾卡伦
'ai'ke'ban'er 艾克板尔
'ai'li 艾黎
'ai'ni'wa'er 艾尼瓦尔
'ai'niu'jin 艾牛金
'ai'sha 艾莎
'ai'shang'gu'du 哀伤孤独
'ai'shi 艾氏
'ai'wan'wan 爱玩玩
'ai'wan'wan'bu'wan'gun 爱玩玩不完滚
'ai'za'zhen'de'mei'ren'ai'me 矮砸真的没人爱么
'ai'zi'mei'ren'quan 矮子没人权
'ai'zi'xiu 矮子秀
'an'ba'tu 安巴图
'an'bu'shang'ren 暗部上忍
'an'bu'zhong'ren 暗部中忍
'an'cang'sha'ji 暗藏杀机
'an'chen'mi'sa 暗尘弥撒
'an'chen'mi'san 暗尘弥散
'an'da'hui 安达恢
'an'ding'fang 安定坊
'an'du 安度
'an'huan 安患
'an'jian'jing'ling 按键精灵
'an'ju'cai 安聚材
'an'li 安利
'an'lin 桉林
'an'lu'shan 安禄山
'an'lu'shan'mian'qian'lai'jiu'chang 安禄山面前来救场
'an'lu'shan'ni'zhen'shuai'qiu'chu'san 安禄山你真帅求出伞
'an'mu'ke 安穆克
'an'niang'niang 安娘娘
'an'ning 安宁
'an'qi 安琪
'an'qi'yun'yong'xiao'jiu'tian 暗起云涌逍九天
'an'qing'en 安庆恩
'an'qing'xu 安庆绪
'an'shi'zhi'luan 安史之乱
'an'shou'zhong 安守忠
'an'si'gui 安思归
'an'wan'er 安婉儿
'an'wan'yan 安婉言
'an'xi'zhen 安息珍
'an'xiang 暗香
'an'xiang'lue'ying 暗香掠影
'an'xiao'qi 安小琪
'an'xin 安馨
'an'xin'hong 安信鸿
'an'xuan 安璇
'an'ye'fang 安业坊
'an'zhi'qiang 安志强
'ang'ru'yue 昂如岳
'ao'gu 傲骨
'ao'miao'wu'qiong 奥妙无穷
'ao'shi'tian'xia 傲视天下
'ao'xue 傲血
'ao'xue'zhan'yi 傲血战意
'ao'you 傲油
'ba'bao'zhai 八宝斋
'ba'bu'er 巴布尔
'ba'ceng'liu 八层流
'ba'chong'miao'fa 八重妙法
'ba'dai'yuan 八代原
'ba'dao 霸刀
'ba'dao'shan'zhuang'qian'zhuang'zhu 霸刀山庄前庄主
'ba'er'han 巴尔汗
'ba'gou'chao'tian 拔狗朝天
'ba'gua'dong'xuan 八卦洞玄
'ba'ha 巴哈
'ba'hong'chen 霸红尘
'ba'huang'gui'yuan 八荒归元
'ba'huang'lu'he 八荒六合
'ba'ji'shi'tou 八级石头
'ba'jiao'zhai 八角寨
'ba'la'ti 巴拉提
'ba'ling'xian 巴陵县
'ba'miao'zhen'nan'ren 八秒真男人
'ba'ni'da'de'bu'shi'ren 把你打得不是人
'ba'pu 巴普
'ba'qi'da'she 八歧大蛇
'ba'shu 巴蜀
'ba'shu'dong 巴蜀东
'ba'shu'er'ren'zu 巴蜀二人组
'ba'shu'feng'yun 巴蜀风云
'ba'tu 巴图
'ba'tu 霸图
'ba'tu'er 巴图尔
'ba'xiang'lian'zhu 八相连珠
'ba'yi'ba 八一八
'ba'yi'lao'ye 巴依老爷
'ba'zhen'tu 八阵图
'bai'ba'chuan 白霸川
'bai'ban'zhuang 白板装
'bai'bian'pi'ge 百编皮革
'bai'bie 拜别
'bai'bu'chuan'yang 百步穿杨
'bai'cao'ting 百草厅
'bai'cao'yao'lu 百草药庐
'bai'chun 白淳
'bai'chun'yong 白春永
'bai'di'cheng 白帝城
'bai'e 白鹅
'bai'fa 白发
'bai'feng 白凤
'bai'fu'ting 白傅廷
'bai'gu'ai 白骨哀
'bai'gu'ling'yuan 白骨陵园
'bai'gu'sui'yun 白骨碎云
'bai'gui 白圭
'bai'hong 白虹
'bai'hu'xing'wei 白虎星卫
'bai'hu'yu'di'zi 白虎域弟子
'bai'hua'fu'xue'shou 百花拂穴手
'bai'jing'qi 白敬启
'bai'lang 白狼
'bai'lao'hao 白劳浩
'bai'li'nan'feng 百里南风
'bai'lian 白莲
'bai'lian 百炼
'bai'lie 白烈
'bai'long'kou 白龙口
'bai'long'zhu 白龙珠
'bai'lu'shuang'huang'di 白鹭霜皇笛
'bai'luo'mu 白罗姆
'bai'mai'gen 百脉根
'bai'mei 白眉
'bai'mian'shu'sheng 白面书生
'bai'mu'ran 白穆然
'bai'nian'cang'yu 百年苍郁
'bai'pei'tian 白沛天
'bai'ping 白萍
'bai'qin 白沁
'bai'qing 白卿
'bai'rong 白蓉
'bai'ru'shui 白如水
'bai'sha'da'mo'yu'di'chui 白沙大漠玉笛吹
'bai'shao'yu 白少鱼
'bai'shi'tong 百事通
'bai'shou'gang 百兽纲
'bai'shou'han 白首翰
'bai'shou'shan 白首山
'bai'shu'bao 白树宝
'bai'si'er 白四儿
'bai'su'su 白素素
'bai'sun'tai 白孙太
'bai'tao 白陶
'bai'tian'he 白天河
'bai'tian'hua 白天华
'bai'tie'long 白铁龙
'bai'wang'chui 白王锤
'bai'xiao'die 白小蝶
'bai'xiao'lan 白小懒
'bai'xiao'sheng 百小昇
'bai'xin 白馨
'bai'xiu'shan 白秀山
'bai'xun'tao 白寻桃
'bai'ya'shi 白雅诗
'bai'ya'xin 白亚新
'bai'ya'yuan 白雅元
'bai'yan'er 白妍儿
'bai'yi'du'wo 白衣渡我
'bai'yi'fen'tian 白衣焚天
'bai'yi'meng'chang 白衣孟尝
'bai'yi'tao'han'ting 白衣陶寒亭
'bai'yi'yi 白依依
'bai'ying'chuan 白颖川
'bai'yong'gang 白永刚
'bai'yong'wen 白勇文
'bai'yu 白羽
'bai'yu'fei 白雨霏
'bai'yuan'chang 白元昌
'bai'zhan'ji 白斩鸡
'bai'zhu 白术
'bai'zhuan'qian'hui 百转千回
'bai'zi'yi 白紫衣
'bai'zu 百足
'bai'zu'tian'long 百足天龙
'ban'bo'ruo 般波若
'ban'gu'han 班谷寒
'ban'jiang'cun 伴江村
'ban'nai 班奈
'ban'tian'yun 半天云
'ban'yue'gu 半月谷
'ban'zhi'xia 伴之夏
'ban'zhui 斑骓
'bang'cai'po'po 榜彩婆婆
'bang'da'gou'tou 棒打狗头
'bang'ding'nai 绑定奶
'bang'ding'shu'chu 绑定输出
'bang'gong 帮贡
'bang'hua'sui'liu 傍花随柳
'bang'hui 帮会
'bang'hui'ling'di 帮会领地
'bang'hui'qu 帮会区
'bang'hui'yan'xi 帮会宴席
'bang'hui'zi'jin 帮会资金
'bang'ju 帮举
'bang'lei 绑雷
'bang'zhan 帮战
'bang'zhu 帮主
'bang'zhu 帮煮
'bang'zhu'fu'ren 帮主夫人
'bao'an 鲍安
'bao'bao 包包
'bao'bao'wei'qu 宝宝委屈
'bao'bao'xin'li'ku 宝宝心里苦
'bao'bu'chuan 包卜川
'bao'bu'liang 包不亮
'bao'bu'teng 包不腾
'bao'can'shi 抱残式
'bao'cheng 鲍城
'bao'da'fu'mo 保大附魔
'bao'da'you 鲍大有
'bao'dan'ti 保单体
'bao'er'die 宝儿爹
'bao'fa 爆发
'bao'fa'ba'xiao'yu'zhou 爆发吧小宇宙
'bao'fa'kai'yi'bo 爆发开一波
'bao'feng'feng 鲍风风
'bao'hu'yin'dao 保护引导
'bao'ji'qu 保急曲
'bao'ji'qu 爆急曲
'bao'la'ji 包垃圾
'bao'li'bao'li 暴力暴力
'bao'li'da'gong 暴力打工
'bao'li'shu'chu 暴力输出
'bao'man 包满
'bao'mu'xia 鲍穆侠
'bao'pu'shou'tian 抱朴狩天
'bao'qi'chang 爆气场
'bao'qian 包乾
'bao'qing'tang 包清堂
'bao'she 报社
'bao'she'dui 报社队
'bao'she'tuan 报社团
'bao'shi'hong 包世宏
'bao'shi'yi'niang 鲍十一娘
'bao'song'dao 包宋道
'bao'tian'lei 暴天雷
'bao'tong'xing 包通行
'bao'tu'quan 趵突泉
'bao'tuan 包团
'bao'tuan 抱团
'bao'tuan'lao'ban 包团老板
'bao'wu'xiang 宝五镶
'bao'xiao'man 包小满
'bao'xing 鲍兴
'bao'xuan'jing 包玄晶
'bao'yin'dong 豹隐洞
'bao'yu 鲍羽
'bao'yu'fei'xing'qian'kun'dian 暴雨飞星乾坤颠
'bao'yu'li'hua 暴雨梨花
'bao'yu'li'hua'zao 暴雨梨花皂
'bao'yu'li'hua'zhen 暴雨梨花针
'bao'yu'liu 暴雨流
'bao'yu'shi 爆玉石
'bao'yuan'shou'que 抱元守缺
'bao'zhang'gong'zhu 宝章公主
'bao'zhong'zhuang'gong'duan'zhi'xuan 褒忠壮公段志玄
'bao'zi'ge 豹子哥
'bao'zi'he'shang 包子和尚
'bei'bao'yi'man 背包已满
'bei'chen 北辰
'bei'dou 北斗
'bei'dou'qi'xing'zhen 北斗七星阵
'bei'dui 背对
'bei'dui'nv'shen 背对女神
'bei'dun 被蹲
'bei'fa 北伐
'bei'guo 背锅
'bei'jiu 杯酒
'bei'kun'cun'min 被困村民
'bei'mang'shan 北茫山
'bei'ming'jian'qi 北冥剑气
'bei'mo 北漠
'bei'mo'ji'huo 悲魔饥火
'bei'qiu 悲秋
'bei'ruo'hai 贝若海
'bei'shi 背饰
'bei'shui 背水
'bei'tai 备胎
'bei'tai'gong 备胎宫
'bei'tai'jian'yi 备胎剑意
'bei'tai'xin'fa 备胎心法
'bei'tian 悲天
'bei'tian'wai'lai'ke'can'ren'de'sha'hai'le 被天外来客残忍的杀害了
'bei'yuan'zhu 北原猪
'bei'yuan'zhu'wang 北原猪王
'bei'yuan'zhu'zai 北原猪崽
'ben'lei'qiang'fa 奔雷枪法
'ben'lei'qiang'shu 奔雷枪术
'ben'lei'ying 奔雷营
'ben'lei'ying'jing'rui'qiang'bing 奔雷营精锐枪兵
'ben'lei'ying'wu'chang 奔雷营伍长
'ben'xian 奔现
'bi'an'hua 彼岸花
'bi'chuang'luo'hua'rong 碧床落花绒
'bi'dian'cang'sheng'shi'tian'qi 笔点苍生师天奇
'bi'die 碧蝶
'bi'er 碧儿
'bi'gui 碧归
'bi'gui'yao'hua 碧闺药花
'bi'huan 碧环
'bi'jia'shu 毕伽叔
'bi'jian 壁箭
'bi'jin'chan 毕金缠
'bi'kong'long'ming 碧空龙鸣
'bi'long'ying'zheng'rou 碧笼盈蒸肉
'bi'luo 碧落
'bi'qing'shi 碧青石
'bi'qiu'tang 比丘堂
'bi'rui'bai'lian 碧蕊白莲
'bi'shu 毕叔
'bi'shui 碧水
'bi'shui'jian 壁水剑
'bi'shui'tan 避水滩
'bi'shui'tao'tian 碧水滔天
'bi'tai'xi'gang'ding 碧台细钢锭
'bi'wu'lei'tai 比武擂台
'bi'xi'sui'pian 碧玺碎片
'bi'xia'gui 碧霞龟
'bi'xin 碧心
'bi'xue'cheng'shu'bai'ma'pian 碧血成书白马篇
'bi'ya'yun 毕雅云
'bi'ye 毕业
'bi'ye'zhuang 毕业装
'bi'yu'fu'ling 碧玉茯苓
'bi'zhen 彼针
'bian'fu'bang'bang'zhong 蝙蝠帮帮众
'bian'fu'bang'ci'ke 蝙蝠帮刺客
'bian'fu'bang'dao'zei 蝙蝠帮盗贼
'bian'fu'bang'di'zi 蝙蝠帮弟子
'bian'fu'bang'lou'luo 蝙蝠帮喽啰
'bian'le 边乐
'bian'nan'chou 卞南愁
'bian'sheng 卞生
'bian'tian'jun 变天君
'bian'xing 扁星
'biao'ju 镖局
'biao'zi 彪子
'bie'qi 别祈
'bie'rang'diao'min'na'san'sa'ye 别让刁民拿伞撒野
'bie'rang'diao'min'zai'ni'mian'qian'na'zhe'san'sa'ye 别让刁民在你面前拿着伞撒野
'bie'wang'le'dai'san 别忘了带伞
'bing'bu'xia'ren 兵部下忍
'bing'can 冰蚕
'bing'can'qian'si 冰蚕牵丝
'bing'die 冰爹
'bing'er 冰儿
'bing'feng'cheng'du 冰封成都
'bing'hua 冰华
'bing'huo'zou'lang 冰火走廊
'bing'ji 冰肌
'bing'jian 兵谏
'bing'jian'mi'pian 兵鉴迷篇
'bing'jian'qiu'long'shi 冰剑囚龙势
'bing'lang'jun'bo'ming'shu 病郎君薄命书
'bing'long'ya 冰龙牙
'bing'qi'bu'cheng'shou 兵器不称手
'bing'tian 冰天
'bing'xin 冰心
'bing'xin'jue 冰心诀
'bing'xin'ma'ma 冰心麻麻
'bing'xin'zhen 冰心阵
'bing'xiu 冰秀
'bing'xue 冰雪
'bing'xue'e'gui 冰血恶鬼
'bing'xue'hu'fa 冰血护法
'bing'xue'hu'wei 冰血护卫
'bing'yao 冰遥
'bo'er 波儿
'bo'er'jia 博尔嘉
'bo'gou'chao'tian 拨狗朝天
'bo'jiong 伯炅
'bo'li 剥离
'bo'li'xin 玻璃心
'bo'li'xin'dao 玻璃心岛
'bo'ni'na 波尼娜
'bo'qing'bo 薄清波
'bo're 般若
'bo're'jue 般若诀
'bo're'lai'yi'fa 般若来一发
'bo'si'jiao 波斯教
'bo'si'mao 波斯猫
'bo'wang'shan 博望山
'bo'wu'tan 薄雾滩
'bu'bao'ge'xin'me 不报个信么
'bu'bo'he'shang 布帛和尚
'bu'bo'jun'shu'shi 布帛均输使
'bu'chen'shi'zhe 不嗔使者
'bu'chu'bu'tui 不出不退
'bu'chu'chi'jian'pan 不出吃键盘
'bu'chu'san'bu'fen'shou 不出伞不分手
'bu'chu'xuan'jing'zhi'bo'chi'jian'pan 不出玄晶直播吃键盘
'bu'da'jiu'duan'bu'fen'shou 不打九段不分手
'bu'da'nai 不打奶
